Ocupacion,Years_Trabajados,Tipo_Trabajo,Ingresos_Mensuales,Tipo_Contrato,Idioma_Casa,Lee_Escribe,Asiste_Asistio,Titulo_Alcanzado,Indice_pobreza,Condicion_pobreza
7,2,2,2000000,1,2,1,1,,3,0
9,7,6,1800000,4,2,1,1,,3,0
5,4,2,3500000,4,3,1,1,1,3,0
3,6,2,3500000,1,3,1,1,14,3,0
5,10,2,3000000,4,3,1,1,14,3,0
8,20,2,2500000,1,3,1,1,,3,0
4,5,2,5000000,4,3,1,1,,3,0
3,2,2,2650000,1,3,1,1,14,3,0
8,6,2,2500000,3,2,1,1,,3,0
3,18,1,4000000,1,2,1,1,1,3,0
3,3,2,5000000,3,3,1,1,14,3,0
3,1,2,2000000,4,3,1,1,,3,0
5,19,2,7000000,2,2,1,1,1,3,0
2,10,2,4500000,1,2,1,1,1,3,0
3,10,2,4500000,3,2,1,1,1,3,0
3,10,2,3500000,1,3,1,1,,3,0
2,5,2,3000000,3,3,1,1,1,3,0
2,1,2,2500000,3,3,1,1,5,3,0
4,3,2,2000000,1,3,1,1,14,3,0
1,0,2,6000000,1,3,1,1,1,3,0
3,10,1,5500000,1,3,1,1,6,3,0
5,5,2,2200000,1,2,1,1,7,3,0
3,0,2,5000000,3,3,1,1,14,3,0
5,7,1,3600000,3,2,1,1,1,3,0
9,0,1,2900000,3,3,1,1,14,3,0
1,5,1,20000000,1,3,1,1,9,3,0
1,5,2,16000000,1,3,1,1,1,3,0
2,4,1,2500000,3,2,1,1,2,3,0
2,10,1,3000000,1,3,1,1,1,3,0
5,0,6,500000,4,2,1,1,14,3,0
2,10,1,7900000,1,2,1,1,1,3,0
5,15,2,3000000,1,3,1,1,,3,0
5,14,2,2600000,1,2,1,1,,3,0
1,8,1,3400000,1,3,1,1,,3,0
1,12,2,6100000,2,3,1,1,14,3,0
3,12,1,4000000,1,3,1,1,1,3,0
3,10,1,3500000,2,3,1,1,7,3,0
2,4,1,3500000,3,3,1,1,1,3,0
9,16,1,2800000,1,3,1,1,,3,0
3,1,1,2500000,1,3,1,1,,3,0
3,9,2,3000000,1,3,1,1,1,3,0
3,13,2,2700000,1,3,1,1,14,3,0
9,9,6,1200000,4,2,4,1,,3,0
5,2,6,1300000,4,2,1,1,,3,0
5,0,2,3000000,3,3,1,1,,3,0
5,0,6,1500000,4,3,1,1,,3,0
9,13,2,3000000,3,2,1,1,,3,0
7,6,2,3500000,3,3,1,1,,3,0
1,6,2,2000000,3,2,1,1,1,3,0
4,4,2,2300000,3,2,1,1,,3,0
5,2,2,2300000,3,2,1,1,,3,0
5,29,1,7200000,1,2,1,1,,3,0
5,23,1,6000000,1,2,1,1,1,3,0
10,18,1,10000000,1,2,1,1,6,3,0
3,0,1,4000000,3,3,1,1,14,3,0
3,5,2,2600000,1,3,1,1,14,3,0
9,0,2,2600000,1,2,1,1,,3,0
2,3,2,9000000,1,3,1,1,14,3,0
7,6,2,2400000,1,1,1,1,,2,1
4,6,2,2600000,4,3,1,1,,2,1
4,20,1,8000000,1,3,1,1,1,3,0
1,17,1,4000000,1,3,1,1,14,3,0
3,13,2,3500000,1,3,1,1,1,3,0
5,5,2,2320000,1,3,1,1,,3,0
5,10,2,2400000,4,3,1,1,,3,0
5,10,2,2500000,4,2,1,1,,3,0
5,2,6,2200000,3,3,1,1,1,3,0
7,10,2,2350000,4,2,1,1,1,3,0
2,4,1,12000000,1,3,1,1,9,3,0
2,19,1,4000000,1,2,1,1,10,3,0
5,10,2,2400000,4,3,1,1,14,3,0
3,16,1,7000000,1,3,1,1,1,3,0
9,15,6,1500000,4,2,1,1,,3,0
2,7,2,6000000,1,3,1,1,1,3,0
2,1,1,6000000,1,3,1,1,1,3,0
1,4,1,4500000,1,3,1,1,1,3,0
2,10,1,5500000,1,3,1,1,1,3,0
4,2,2,2320000,1,3,1,1,,3,0
9,7,1,5000000,1,3,1,1,1,3,0
1,5,1,12000000,2,3,1,1,10,3,0
4,12,1,3500000,1,3,1,1,1,3,0
5,4,2,0,1,3,1,1,7,3,0
5,8,2,2960000,1,3,1,1,,3,0
1,10,2,6000000,1,3,1,1,1,3,0
4,3,2,4000000,1,3,1,1,14,3,0
1,5,2,5500000,3,3,1,1,14,3,0
4,0,2,2500000,3,3,1,1,,3,0
9,2,2,2500000,4,1,1,1,,3,0
1,7,2,4000000,3,3,1,1,14,3,0
2,19,1,5500000,1,2,1,1,9,3,0
5,1,2,0,4,2,1,1,,3,0
