Ocupacion,Años_Trabajados,Tipo_Trabajo,Ingresos_Mensuales,Tipo_Contrato,Ingreso_Jubilacion,Idioma_Casa,Lee_Escribe,Asiste_Asistio,Titulo_Alcanzado,Asiste_Actual,Razon_Dejar,indice_pobreza,condicion_pobreza
"9,00","0,00","2,00","1.900.000,00","3,00","0,00","3,00","1,00","1,00",,"19,00","1,00","3,00","0,00"
"3,00","12,00","2,00","4.000.000,00","1,00","0,00","3,00","1,00","1,00",,"19,00","2,00","3,00","0,00"
"9,00","10,00","1,00","2.500.000,00","1,00","0,00","3,00","1,00","1,00",,"19,00","1,00","3,00","0,00"
"8,00","13,00","1,00","2.500.000,00","1,00","0,00","3,00","1,00","1,00",,"19,00","1,00","3,00","0,00"
"3,00","4,00","2,00","2.500.000,00","3,00","0,00","3,00","1,00","1,00","14,00","19,00","3,00","3,00","0,00"
"3,00","8,00","1,00","3.500.000,00","1,00","0,00","2,00","1,00","1,00","14,00","19,00","3,00","3,00","0,00"
"3,00","10,00","1,00","2.500.000,00","3,00","0,00","2,00","1,00","1,00","14,00","19,00","3,00","3,00","0,00"
"3,00","14,00","1,00","3.000.000,00","1,00","0,00","3,00","1,00","1,00","7,00","19,00","16,00","3,00","0,00"
"8,00","12,00","2,00","2.500.000,00","4,00","0,00","3,00","1,00","1,00",,"19,00","2,00","3,00","0,00"
"4,00","4,00","2,00","2.200.000,00","1,00","0,00","2,00","1,00","1,00",,"19,00","1,00","3,00","0,00"
"5,00","7,00","2,00","2.200.000,00","1,00","0,00","2,00","1,00","1,00",,"19,00","2,00","3,00","0,00"
"7,00","0,00","2,00","1.400.000,00","4,00","0,00","2,00","1,00","1,00",,"19,00","1,00","2,00","1,00"
"9,00","24,00","6,00","2.600.000,00","4,00","0,00","3,00","1,00","1,00",,"19,00","1,00","3,00","0,00"
"5,00","0,00","2,00","2.200.000,00","3,00","0,00","2,00","1,00","1,00",,"19,00","8,00","3,00","0,00"
"5,00","1,00","2,00","1.471.320,00","3,00","0,00","3,00","1,00","1,00",,"19,00","14,00","3,00","0,00"
"7,00","10,00","2,00","3.000.000,00","4,00","0,00","3,00","1,00","1,00",,"19,00","1,00","3,00","0,00"
"5,00","5,00","2,00","2.550.000,00","1,00","0,00","3,00","1,00","1,00","14,00","19,00","3,00","3,00","0,00"
"2,00","7,00","2,00","1.620.000,00","1,00","0,00","3,00","1,00","1,00","2,00","19,00","2,00","3,00","0,00"
"7,00","16,00","2,00","3.000.000,00","4,00","0,00","2,00","1,00","1,00",,"19,00","2,00","3,00","0,00"
"9,00","2,00","2,00","2.000.000,00","4,00","0,00","2,00","1,00","1,00",,"19,00","6,00","3,00","0,00"
"2,00","4,00","1,00","3.500.000,00","3,00","0,00","2,00","1,00","1,00","1,00","19,00","2,00","3,00","0,00"
"7,00","10,00","2,00","2.400.000,00","4,00","0,00","1,00","1,00","1,00",,"19,00","2,00","3,00","0,00"
"7,00","1,00","2,00","2.200.000,00","4,00","0,00","2,00","1,00","1,00",,"19,00","2,00","3,00","0,00"
"9,00","3,00","2,00","1.600.000,00","4,00","0,00","1,00","1,00","1,00",,"19,00","15,00","3,00","0,00"
"9,00","2,00","2,00","2.400.000,00","4,00","0,00","2,00","1,00","1,00",,"19,00","15,00","3,00","0,00"
"9,00","5,00","6,00","1.200.000,00","4,00","0,00","3,00","1,00","1,00",,"19,00","1,00","2,00","1,00"
"9,00","0,00","2,00","800.000,00","4,00","0,00","3,00","1,00","1,00",,"19,00","1,00","2,00","1,00"
"4,00","0,00","2,00","2.000.000,00","3,00","0,00","3,00","1,00","1,00",,"19,00","2,00","2,00","1,00"
"1,00","6,00","1,00","3.100.000,00","1,00","0,00","3,00","1,00","1,00","7,00","19,00","1,00","2,00","1,00"
"4,00","5,00","2,00","2.500.000,00","1,00","0,00","2,00","1,00","1,00",,"19,00","2,00","2,00","1,00"
"5,00","25,00","2,00","2.000.000,00","4,00","0,00","3,00","1,00","1,00","14,00","19,00","14,00","3,00","0,00"
"4,00","1,00","1,00","2.340.000,00","3,00","0,00","3,00","1,00","1,00",,"19,00","2,00","2,00","1,00"
"5,00","3,00","2,00","2.680.373,00","4,00","0,00","2,00","1,00","1,00",,"19,00","2,00","3,00","0,00"
"4,00","12,00","2,00","2.680.373,00","3,00","0,00","2,00","1,00","1,00",,"19,00","2,00","3,00","0,00"
"5,00","5,00","2,00","2.600.000,00","3,00","0,00","3,00","1,00","1,00",,"19,00","2,00","3,00","0,00"
"9,00","12,00","2,00","1.500.000,00","4,00","0,00","2,00","1,00","1,00",,"19,00","2,00","3,00","0,00"
"5,00","8,00","2,00","700.000,00","4,00","0,00","3,00","1,00","1,00",,"19,00","2,00","3,00","0,00"
"8,00","2,00","2,00","5.000.000,00","3,00","0,00","3,00","1,00","1,00",,"19,00","2,00","3,00","0,00"
"5,00","3,00","2,00","2.600.000,00","3,00","0,00","3,00","1,00","1,00",,"19,00","1,00","3,00","0,00"
"5,00","2,00","2,00","2.600.000,00","3,00","0,00","3,00","1,00","1,00",,"19,00","1,00","3,00","0,00"
"9,00","2,00","1,00","2.600.000,00","3,00","0,00","2,00","1,00","1,00",,"19,00","2,00","3,00","0,00"
"9,00","0,00","2,00","2.300.000,00","3,00","0,00","2,00","1,00","1,00",,"19,00","2,00","3,00","0,00"
"7,00","1,00","2,00","1.500.000,00","4,00","0,00","1,00","1,00","1,00",,"19,00","1,00","3,00","0,00"
"5,00","0,00","6,00","1.200.000,00","4,00","0,00","1,00","1,00","1,00",,"19,00","14,00","2,00","1,00"
"2,00","21,00","1,00","2.500.000,00","1,00","0,00","2,00","1,00","1,00","3,00","19,00","2,00","3,00","0,00"
"9,00","0,00","2,00","1.000.000,00","4,00","0,00","2,00","1,00","1,00",,"19,00","2,00","2,00","1,00"
"4,00","24,00","1,00","2.200.000,00","1,00","0,00","2,00","1,00","1,00","14,00","19,00","1,00","3,00","0,00"
"4,00","1,00","2,00","2.320.000,00","1,00","0,00","3,00","1,00","1,00","14,00","19,00","1,00","3,00","0,00"
"2,00","10,00","1,00","2.320.000,00","1,00","0,00","2,00","1,00","1,00","1,00","19,00","2,00","3,00","0,00"
"2,00","4,00","2,00","1.800.000,00","4,00","0,00","3,00","1,00","1,00","14,00","19,00","1,00","3,00","0,00"
"1,00","2,00","2,00","4.000.000,00","2,00","0,00","3,00","1,00","1,00","14,00","19,00","2,00","3,00","0,00"
"9,00","3,00","2,00","2.550.000,00","3,00","0,00","3,00","1,00","1,00",,"19,00","2,00","3,00","0,00"
"5,00","10,00","2,00","2.500.000,00","1,00","0,00","2,00","1,00","1,00","1,00","19,00","14,00","3,00","0,00"
"9,00","2,00","2,00","1.280.000,00","4,00","0,00","2,00","1,00","1,00",,"19,00","1,00","3,00","0,00"
"3,00","3,00","2,00","2.600.000,00","4,00","0,00","3,00","1,00","1,00",,"19,00","1,00","3,00","0,00"
"9,00","3,00","2,00","1.500.000,00","4,00","0,00","3,00","1,00","1,00",,"19,00","1,00","3,00","0,00"
"9,00","2,00","2,00","2.500.000,00","2,00","0,00","3,00","1,00","1,00",,"19,00","14,00","3,00","0,00"
"3,00","5,00","2,00","4.800.000,00","1,00","0,00","3,00","1,00","1,00","1,00","19,00","5,00","3,00","0,00"
"2,00","2,00","2,00","5.000.000,00","1,00","0,00","3,00","1,00","1,00","1,00","19,00","2,00","3,00","0,00"
"9,00","24,00","1,00","4.000.000,00","1,00","0,00","3,00","1,00","1,00",,"19,00","2,00","3,00","0,00"
"8,00","7,00","2,00","2.400.000,00","1,00","0,00","3,00","1,00","1,00","14,00","19,00","14,00","3,00","0,00"
"4,00","5,00","1,00","2.900.000,00","1,00","0,00","3,00","1,00","1,00","14,00","19,00","1,00","3,00","0,00"
"4,00","1,00","2,00","2.680.000,00","3,00","0,00","3,00","1,00","1,00","14,00","19,00","14,00","3,00","0,00"
"9,00","29,00","6,00","1.200.000,00","4,00","0,00","2,00","1,00","1,00",,"19,00","2,00","2,00","1,00"
"9,00","9,00","6,00","1.500.000,00","4,00","0,00","3,00","1,00","1,00",,"19,00","15,00","3,00","0,00"
"1,00","0,00","2,00","7.000.000,00","1,00","0,00","3,00","1,00","1,00","1,00","19,00","2,00","3,00","0,00"
"7,00","5,00","2,00","2.500.000,00","4,00","0,00","2,00","1,00","1,00",,"19,00","1,00","3,00","0,00"
"1,00","10,00","1,00","3.500.000,00","1,00","0,00","2,00","1,00","1,00",,"19,00","3,00","3,00","0,00"
"1,00","12,00","1,00","5.000.000,00","1,00","0,00","2,00","1,00","1,00","1,00","19,00","3,00","3,00","0,00"
"3,00","6,00","1,00","3.500.000,00","1,00","0,00","2,00","1,00","1,00",,"19,00","2,00","3,00","0,00"
"5,00","5,00","2,00","3.000.000,00","1,00","0,00","2,00","1,00","1,00","1,00","19,00","3,00","3,00","0,00"
"9,00","6,00","6,00","1.200.000,00","4,00","0,00","2,00","1,00","1,00",,"19,00","15,00","3,00","0,00"
"4,00","0,00","2,00","2.500.000,00","3,00","0,00","3,00","1,00","1,00","14,00","19,00","14,00","3,00","0,00"
