B01REC,B03LU,B03MA,B03MI,B03JU,B03VI,B03SA,B03DO,B07A,B12,B16T,B26,E01A,E01B,E01C,E01H,ED01,ED02,ED03,ED0504,ED06C,ED08,ED10,e01aimde,e01hde,pobrezai,pobnopoi
"3,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","10,00","1,00","4.200.000,00","3,00","4.200.000,00","0,00","0,00","0,00","2,00","1,00","1,00","2.405,00","1,00","19,00","2,00","4.203.286,39","0,00","3,00","0,00"
"7,00","8,00","0,00","0,00","8,00","8,00","8,00","8,00","13,00","1,00","3.000.000,00","1,00","3.000.000,00","0,00","0,00","0,00","3,00","1,00","1,00","605,00",,"19,00","2,00","3.002.347,42","0,00","3,00","0,00"
"9,00","4,00","0,00","0,00","6,00","6,00","6,00","6,00","20,00","6,00","1.600.000,00","4,00","1.600.000,00","320.000,00","0,00","0,00","3,00","1,00","1,00","901,00",,"19,00","1,00","1.601.251,96","0,00","3,00","0,00"
"5,00","8,00","0,00","0,00","8,00","8,00","8,00","8,00","10,00","1,00","2.200.000,00","1,00","2.200.000,00","0,00","0,00","0,00","3,00","1,00","1,00","606,00",,"19,00","2,00","2.201.721,44","0,00","3,00","0,00"
"9,00","8,00","0,00","8,00","8,00","8,00","8,00","8,00","5,00","2,00","2.550.000,00","4,00","2.550.000,00","0,00","0,00","0,00","3,00","1,00","1,00","501,00",,"19,00","2,00","2.551.995,31","0,00","3,00","0,00"
"1,00","6,00","0,00","0,00","6,00","6,00","6,00","6,00","30,00","1,00","8.778.681,00","1,00","8.778.681,00","0,00","0,00","0,00","2,00","1,00","1,00","2.405,00","1,00","19,00","2,00","8.785.550,08","0,00","3,00","0,00"
"9,00","8,00","8,00","5,00","5,00","8,00","8,00","8,00","6,00","2,00","2.454.000,00","3,00","2.454.000,00","0,00","0,00","0,00","2,00","1,00","1,00","903,00",,"19,00","1,00","2.454.000,00","0,00","3,00","0,00"
"5,00","8,00","8,00","0,00","8,00","8,00","8,00","8,00","3,00","2,00","2.600.000,00","1,00","2.600.000,00","0,00","0,00","0,00","2,00","1,00","1,00","2.404,00","1,00","19,00","2,00","2.600.000,00","0,00","3,00","0,00"
"2,00","6,00","6,00","0,00","0,00","6,00","6,00","6,00","15,00","1,00","5.187.000,00","1,00","5.187.000,00","4.216.000,00","0,00","0,00","2,00","1,00","1,00","2.404,00","1,00","19,00","2,00","5.187.000,00","0,00","3,00","0,00"
"3,00","12,00","0,00","0,00","0,00","0,00","12,00","0,00","10,00","1,00","3.528.000,00","1,00","3.528.000,00","0,00","0,00","0,00","2,00","1,00","1,00","2.404,00","1,00","19,00","5,00","3.528.000,00","0,00","3,00","0,00"
"9,00","8,00","8,00","0,00","0,00","8,00","8,00","8,00","20,00","6,00","2.600.000,00","4,00","2.600.000,00","0,00","0,00","0,00","2,00","1,00","1,00","502,00",,"19,00","1,00","2.600.000,00","0,00","3,00","0,00"
